Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
RH0_2,0.00600000918300941,0.0119040416459426,-0.00882205940717629,0,0,0,0.0122867535546083,1.78095920550916E-06,1.11551343577217E-12,3.52216853538403E-12,1.09334395045213E-06,5.54213494723083E-07,1.38544250374249E-06,0,0,0,0,0,0,package://DX-XM8888/meshes/RH0_2.STL,0.407843137254902,0.407843137254902,0.549019607843137,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH0_2.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/拇指-1-1/拇指2-1-1,RH0-2_,RH0-2Z,r_f_jiont_1_3,revolute,0.00379999999999994,0.0339193422023141,-0.0264287386108816,0,0,0,RH0_1,-1,0,0,0,0,0,0,,,,,,,,
RH0_3,-0.0060169458187958,0.0109867266017507,0.00765050833131975,0,0,0,0.0110115288248458,1.47864901904124E-06,1.72439356503791E-09,6.25666978100137E-10,8.31608044645451E-07,-4.3001555573024E-07,1.15050003492575E-06,0,0,0,0,0,0,package://DX-XM8888/meshes/RH0_3.STL,0.949019607843137,0.819607843137255,0.549019607843137,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH0_3.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/拇指-1-1/拇指3-1-1,RH0-3_,RH0-3Z,r_f_jiont_1_4,revolute,0,0.0214559559977436,-0.0167177137259533,-3.14159265358979,0,3.14159265358979,RH0_2,-1,0,0,0,0,0,0,,,,,,,,
RH1_0,-0.007234838569811,6.56575770701107E-05,0.00156067580355124,0,0,0,0.0038413206465803,1.98166028972206E-07,-2.13073095087666E-11,8.42889212492412E-10,1.94693498412904E-07,-2.53219737360808E-09,1.29265929749434E-07,0,0,0,0,0,0,package://DX-XM8888/meshes/RH1_0.STL,0.43921568627451,0.619607843137255,1,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH1_0.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-2/0000_5_1_3-1-1,RH1-0_,RH1-0Z,r_f_jiont_2_1,revolute,-0.0107999999976446,0.0304500000002516,0.120779999999401,0,0,0,RFH1,-1,0,0,0,0,0,0,,,,,,,,
RH1_1,-0.0075795059779773,-0.0216787916735738,0.000842089314530448,0,0,0,0.0143435345187347,3.16152534307448E-06,6.16874611332834E-08,1.81705527166432E-09,7.98400921147991E-07,2.51288330511977E-08,3.19330964299394E-06,0,0,0,0,0,0,package://DX-XM8888/meshes/RH1_1.STL,0.517647058823529,0.8,0.976470588235294,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH1_1.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-2/1-061400_129_1_4-1-1,RH1-1_,RH1-1Z,r_f_jiont_2_2,revolute,-0.00715,0.00780000000000136,0.0115999999999988,-1.56219388225413,0,1.5707963267949,RH1_0,-1,0,0,0,0,0,0,,,,,,,,
RH1_2,0.0102511088803841,-0.0127505618783299,-0.00136023481961261,0,0,0,0.00665207707264815,6.9861002701327E-07,-5.4748865203202E-09,-7.06950691821553E-09,4.2859404415312E-07,4.64797610367809E-09,7.86770833894284E-07,0,0,0,0,0,0,package://DX-XM8888/meshes/RH1_2.STL,0.486274509803922,1,0,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH1_2.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-2/2-061400_57_1_3-1-1,RH1-2_,RH1-2Z,r_f_jiont_2_3,revolute,0.0015000000000005,-0.0429984089656923,0.000369900552980437,3.14159265358979,0,3.14159265358979,RH1_1,-1,0,0,0,0,0,0,,,,,,,,
RH1_3,0.00894424348306067,-0.0126892891011749,-0.000480629933175135,0,0,0,0.00790882474447943,5.99156455011656E-07,2.38113938135429E-08,3.42959463670849E-09,2.71611180603311E-07,-9.0460571339989E-08,6.21776831045074E-07,0,0,0,0,0,0,package://DX-XM8888/meshes/RH1_3.STL,0.568627450980392,0.427450980392157,0.847058823529412,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH1_3.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-2/0013_46_1_3-1-1;2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-2/30001_27_1_3-1-1,RH1-3_,RH1-3Z,r_f_jiont_2_4,revolute,0,-0.0249990749800533,-0.000215058461035097,0,0,0,RH1_2,-1,0,0,0,0,0,0,,,,,,,,
RH2_0,-0.007534838569811,6.56575770699996E-05,0.00156067580355135,0,0,0,0.00384132064658031,1.98166028972206E-07,-2.13073095087186E-11,8.42889212492435E-10,1.94693498412904E-07,-2.53219737360807E-09,1.29265929749434E-07,0,0,0,0,0,0,package://DX-XM8888/meshes/RH2_0.STL,0.43921568627451,0.619607843137255,1,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH2_0.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-4/0000_5_1_3-1-1,RH2-0_,RH2-0Z,r_f_jiont_3_1,revolute,-0.0104999999976446,0.0101500000002526,0.125779999999404,0,0,0,RFH1,-1,0,0,0,0,0,0,,,,,,,,
RH2_1,-0.00787950597797726,-0.0216787916735736,0.000842089314530439,0,0,0,0.0143435345187348,3.1615253430745E-06,6.16874611332901E-08,1.81705527165972E-09,7.98400921147995E-07,2.5128833051196E-08,3.19330964299395E-06,0,0,0,0,0,0,package://DX-XM8888/meshes/RH2_1.STL,0.517647058823529,0.8,0.976470588235294,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH2_1.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-4/1-061400_129_1_4-1-1,RH2-1_,RH2-1Z,r_f_jiont_3_2,revolute,-0.00744999999999994,0.00810000000000144,0.0115999999999987,-1.56219388225413,0,1.5707963267949,RH2_0,-1,0,0,0,0,0,0,,,,,,,,
RH2_2,0.0102511088803846,-0.0127505618783303,-0.00136023481961269,0,0,0,0.00665207707264782,6.9861002701324E-07,-5.474886520317E-09,-7.06950691821764E-09,4.28594044153091E-07,4.64797610368523E-09,7.86770833894263E-07,0,0,0,0,0,0,package://DX-XM8888/meshes/RH2_2.STL,0.486274509803922,1,0,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH2_2.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-4/2-061400_57_1_3-1-1,RH2-2_,RH2-2Z,r_f_jiont_3_3,revolute,0.00120000000000042,-0.042998408965692,0.000369900552980502,3.14159265358979,0,3.14159265358979,RH2_1,-1,0,0,0,0,0,0,,,,,,,,
RH2_3,0.00894424348306022,-0.0126892891011752,-0.00048062993317541,0,0,0,0.00790882474447909,5.99156455011723E-07,2.38113938135363E-08,3.42959463670613E-09,2.7161118060329E-07,-9.04605713400071E-08,6.21776831045122E-07,0,0,0,0,0,0,package://DX-XM8888/meshes/RH2_3.STL,0,0.498039215686275,1,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH2_3.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-4/30001_27_1_3-1-1;2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-4/0013_46_1_3-1-1,RH2-3_,RH2-3Z,r_f_jiont_3_4,revolute,0,-0.0249990749800535,-0.000215058461035098,0,0,0,RH2_2,-1,0,0,0,0,0,0,,,,,,,,
RH3_0,-0.007234838569811,6.56575770699996E-05,0.00156067580355135,0,0,0,0.0038413206465803,1.98166028972206E-07,-2.13073095088009E-11,8.42889212492423E-10,1.94693498412904E-07,-2.53219737360805E-09,1.29265929749434E-07,0,0,0,0,0,0,package://DX-XM8888/meshes/RH3_0.STL,0.43921568627451,0.619607843137255,1,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH3_0.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-3/0000_5_1_3-1-1,RH3-0_,RH3-0Z,r_f_jiont_4_1,revolute,-0.0108000000000406,-0.010149999999749,0.120779999999404,0,0,0,RFH1,-1,0,0,0,0,0,0,,,,,,,,
RH3_1,-0.00987049402202245,-0.0216787916735736,-0.000842089314530382,0,0,0,0.014343534518735,3.16152534307452E-06,-6.16874611332859E-08,1.81705527165745E-09,7.98400921148012E-07,-2.51288330512017E-08,3.19330964299396E-06,0,0,0,0,0,0,package://DX-XM8888/meshes/RH3_1.STL,0.517647058823529,0.8,0.976470588235294,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH3_1.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-3/1-061400_129_1_4-1-1,RH3-1_,RH3-1Z,r_f_jiont_4_2,revolute,-0.00715000000000002,-0.00964999999999827,0.0116000000000016,-1.57939877133567,0,-1.5707963267949,RH3_0,-1,0,0,0,0,0,0,,,,,,,,
RH3_2,-0.005448891119616,-0.0127505618783299,-0.00136023481961262,0,0,0,0.00665207707264848,6.98610027013307E-07,-5.47488652031187E-09,-7.06950691822215E-09,4.28594044153143E-07,4.64797610367446E-09,7.86770833894327E-07,0,0,0,0,0,0,package://DX-XM8888/meshes/RH3_2.STL,0.486274509803922,1,0,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH3_2.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-3/2-061400_57_1_3-1-1,RH3-2_,RH3-2Z,r_f_jiont_4_3,revolute,-0.00325000000000009,-0.042998408965692,-0.000369900552980412,0,0,0,RH3_1,-1,0,0,0,0,0,0,,,,,,,,
RH3_3,-0.00675575651693383,-0.0126892891011756,-0.000480629933175331,0,0,0,0.00790882474447917,5.99156455011702E-07,2.38113938135456E-08,3.4295946366982E-09,2.71611180603293E-07,-9.04605713400077E-08,6.21776831045106E-07,0,0,0,0,0,0,package://DX-XM8888/meshes/RH3_3.STL,0.568627450980392,0.427450980392157,0.847058823529412,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH3_3.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-3/0013_46_1_3-1-1;2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-3/30001_27_1_3-1-1,RH3-3_,3RH3-3Z,r_f_jiont_4_4,revolute,0,-0.0249990749800537,-0.000215058461035103,0,0,0,RH3_2,-1,0,0,0,0,0,0,,,,,,,,
RH4_0,-0.00753483856981099,6.56575770698886E-05,0.00156067580355124,0,0,0,0.00384132064658029,1.98166028972206E-07,-2.13073095086841E-11,8.42889212492437E-10,1.94693498412904E-07,-2.53219737360807E-09,1.29265929749434E-07,0,0,0,0,0,0,package://DX-XM8888/meshes/RH4_0.STL,0.43921568627451,0.619607843137255,1,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH4_0.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-1/0000_5_1_3-1-1,RH4-0_,RH4-0Z,r_f_jiont_5_1,revolute,-0.0104999999976326,-0.030449999999749,0.115779999999404,0,0,0,RFH1,-1,0,0,0,0,0,0,,,,,,,,
RH4_1,-0.00987049402202234,-0.0216787916735736,-0.000842089314530478,0,0,0,0.0143435345187349,3.16152534307451E-06,-6.16874611332772E-08,1.81705527166269E-09,7.98400921148003E-07,-2.51288330512058E-08,3.19330964299396E-06,0,0,0,0,0,0,package://DX-XM8888/meshes/RH4_1.STL,0.517647058823529,0.8,0.976470588235294,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH4_1.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-1/1-061400_129_1_4-1-1,RH4-1_,RH4-1Z,r_f_jiont_5_2,revolute,-0.00745000000000002,-0.00964999999999827,0.0116000000000016,-1.57939877133567,0,-1.5707963267949,RH4_0,-1,0,0,0,0,0,0,,,,,,,,
RH4_2,-0.00544889111961566,-0.0127505618783306,-0.00136023481961266,0,0,0,0.00665207707264783,6.98610027013238E-07,-5.47488652032205E-09,-7.06950691821903E-09,4.28594044153093E-07,4.64797610368322E-09,7.8677083389426E-07,0,0,0,0,0,0,package://DX-XM8888/meshes/RH4_2.STL,0.486274509803922,1,0,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH4_2.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-1/2-061400_57_1_3-1-1,RH4-2_,RH4-2Z,r_f_jiont_5_3,revolute,-0.00325000000000009,-0.042998408965692,-0.000369900552980412,0,0,0,RH4_1,-1,0,0,0,0,0,0,,,,,,,,
RH4_3,-0.00675575651693416,-0.0126892891011738,-0.000480629933175396,0,0,0,0.00790882474447871,5.9915645501167E-07,2.38113938135365E-08,3.4295946366966E-09,2.71611180603289E-07,-9.04605713399949E-08,6.21776831045076E-07,0,0,0,0,0,0,package://DX-XM8888/meshes/RH4_3.STL,0,0.498039215686275,1,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RH4_3.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-1/30001_27_1_3-1-1;2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/右手-1-1/四指.04-1-1/0013_46_1_3-1-1,RH4-3_,RH4-3Z,r_f_jiont_5_4,revolute,0,-0.0249990749800537,-0.000215058461035103,0,0,0,RH4_2,-1,0,0,0,0,0,0,,,,,,,,
RPTC0,0.0076428207646725,-0.00180467182851407,1.41830294054266,0,0,0,0.00280380821488257,7.40695875707006E-07,-1.16725503910272E-09,-1.10468849329754E-07,2.8327993884718E-07,-1.17451111236002E-09,7.35334502913099E-07,0,0,0,0,0,0,package://DX-XM8888/meshes/RPTC0.STL,0.858823529411765,0.858823529411765,0.858823529411765,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RPTC0.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/相机支架-1-1;2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/Screw_DIN_912_M3_x_6.01.02-1-1,LPTC0_,RPTC0Z,r_p_0,prismatic,1.32949999999983,0.00183265056008242,0.108000000002271,3.14159265358979,-1.5707963267949,0,R4,0,0,1,0,0,0,0,,,,,,,,
RPTC1,0.0207842389444207,-0.00448364141508939,0.000350419096162166,0,0,0,0.0196853060123032,3.17556352630502E-06,-1.34625184046183E-07,-7.17335327362292E-08,3.09742384796802E-06,-1.85410662599781E-07,3.13463427267427E-06,0,0,0,0,0,0,package://DX-XM8888/meshes/RPTC1.STL,0.949019607843137,0.83921568627451,0.658823529411765,1,0,0,0,0,0,0,package://DX-XM8888/meshes/RPTC1.STL,,2026-02-03_right-1/00_ASSY-1-1/简化-2-1/R-1-1/臂-1-1/HF890.02-1-1,RHPTC1,RPTC1Z,r_p_1,revolute,0.0200000000000001,0.0186673494550409,1.43100000000005,-1.57939877133567,0,-1.57079632679491,RPTC0,-1,0,0,0,0,0,0,,,,,,,,
L0,-0.0853875957003696,0.00169465685162173,-1.60763297413192E-06,0,0,0,0.810571700293545,0.000875006185629834,3.17547121342519E-05,1.70950920863658E-08,0.00198762376697668,2.28289413471897E-08,0.00167181910080485,0,0,0,0,0,0,package://DX-XM8888/meshes/L0.STL,0.129411764705882,0.549019607843137,0.129411764705882,1,0,0,0,0,0,0,package://DX-XM8888/meshes/L0.STL,,2026-02-03_简化-2/00_ASSY-1/简化-1/L-1/臂-1/Marvin_M6-S-R-CCS__5DOF__920无变径环-1/Marvin_M6-S-R-CCS__5DOF-1/open_shell.1-1,L0_,L0Z,l_a_jiont_1,revolute,0.00095486,0.111,0.956,1.5708,0,-1.5794,base_link,-1,0,0,0,0,0,0,,,,,,,,
L1,0.0304874336195671,0.0477185705957223,-0.000412430980613907,0,0,0,1.14647299031558,0.00453232844505378,-8.271289313055E-05,7.64205084510615E-07,0.00235220551458569,2.62733691655778E-05,0.00541257381325743,0,0,0,0,0,0,package://DX-XM8888/meshes/L1.STL,0.188235294117647,0.498039215686275,0.286274509803922,1,0,0,0,0,0,0,package://DX-XM8888/meshes/L1.STL,,2026-02-03_简化-2/00_ASSY-1/简化-1/L-1/臂-1/Marvin_M6-S-R-CCS__5DOF__920无变径环-1/Marvin_M6-S-R-CCS__5DOF-1/open_shell.2-1,L1_,L1Z,l_a_jiont_2,revolute,-0.1085,-0.032,0,0.0086024445407708,0,1.57079632679509,L0,-1,0,0,0,0,0,0,,,,,,,,
